t_index	term	df
368	20to40foot	1
369	20year	9
370	20yearold	10
371	21	23
372	210	2
373	2100	1
374	212037090	1
375	2125561927	1
376	2125578000	1
377	2128702167	1
378	2128850832	1
379	212989832	1
380	215	4
381	215000	1
382	216	3
383	217	1
384	219	4
385	21foot	1
386	21gun	2
387	21nation	1
388	21st	3
389	21stcenturi	1
390	21yearold	1
391	22	49
392	22000	1
393	220megawatt	2
394	22192	1
395	222	6
396	222209	2
397	223	2
398	22314	1
399	224	26
400	2247	1
401	225	3
402	2267	1
403	22match	3
404	22member	3
405	22nd	5
406	22yearold	11
407	23	54
408	230	4
409	231	1
410	2315	1
411	232	4
412	23261	1
413	234	2
414	2340	1
415	23500	1
416	236	1
417	23622	1
418	236693	2
419	238	4
420	23rd	1
421	23yearold	9
422	24	80
423	240	4
424	2400	1
425	2403	1
426	241	4
427	2412	2
428	243000	1
429	245	2
430	246	5
431	246day	1
432	247	1
433	24carat	1
434	24citi	1
435	24hour	1
436	24th	8
437	24yearold	10
438	25	74
439	250	6
440	2500	15
441	25000	12
442	250member	2
443	253	2
444	255	4
445	257	1
446	2583	2
447	259	1
448	2595	1
449	25foot	1
450	25th	6
451	25yearold	1
452	26	43
453	26000	3
454	264	1
455	26484	1
456	267	1
457	269	1
458	26yearold	1
459	27	15
460	270	8
461	271	1
462	275	6
463	27yearold	6
464	28	21
465	2800	1
466	28000	7
467	2829	1
468	283	2
469	2834	2
470	2850	1
471	28th	1
472	28yearold	1
473	29	33
474	293	3
475	293strong	3
476	295	1
477	29yearold	3
478	2hour	3
479	2nd	3
480	2seed	1
481	2storey	1
482	2yearold	7
483	3	79
484	30	108
485	300	27
486	3000	16
487	30000	24
488	300000	12
489	300yardswid	1
490	30303	1
491	3040	2
492	308	3
493	30andov	1
494	30by40foot	2
495	30hour	1
496	30minut	1
497	30straight	1
498	30year	1
499	30yearold	9
500	31	22
501	310	2
502	315	2
503	31521	1
504	316	2
505	31st	1
506	31yearold	3
507	32	12
508	320	1
509	32000	2
510	325	1
511	327	3
512	329	1
513	3291	1
514	33	39
515	330	3
516	33000	1
517	332	1
518	333	1
519	335	6
520	33footlong	1
521	33rd	1
522	34	15
523	34000	2
524	345	5
525	348	1
526	34foot	2
527	34yearold	2
528	35	56
529	350	16
530	350bed	1
531	357	2
532	357calib	2
533	35magnitud	1
534	35year	3
535	35yearold	1
536	36	49
537	36000	1
538	3622	1
539	37	26
540	370	1
541	3700	1
542	372	3
543	3750	1
544	38	15
545	38248	1
546	387	1
547	38th	2
548	38yearold	4
549	39	63
550	39yearold	4
551	3day	1
552	3foothigh	1
553	3rd	9
554	3to2	1
555	3yearold	4
556	4	35
557	40	95
558	400	23
559	4000	6
560	40000	1
561	400000	3
562	403	2
563	4030	1
564	4040	2
565	40bed	1
566	40by40	2
567	40by40feet	1
568	40by40foot	13
569	40foot	9
570	40footby40foot	2
571	40footlong	1
572	40man	1
573	40member	1
574	40page	1
575	40th	1
576	40yearold	6
577	41	15
578	41000	1
579	4102	2
580	415	1
581	418	3
582	41st	1
583	41yearold	4
584	42	25
585	421	1
586	426	1
587	42day	1
588	43	14
589	435	4
590	4350	2
591	43rd	7
592	43yearold	1
593	44	15
594	440	1
595	440000	2
596	443	1
597	444	3
598	4440	1
599	44yearold	4
600	45	35
601	4500	1
602	45000	4
603	454	1
604	456	2
605	46	29
606	46000	1
607	466	1
608	4692	3
609	47	12
610	47101968	1
611	472	1
612	47242846	1
613	473385	2
614	475	1
615	475000	1
616	47minut	2
617	47yearold	1
618	48	23
619	480	1
620	4800	1
621	48000	1
622	48421815	1
623	48591357	1
624	48hour	1
625	48inch	2
626	48th	1
627	49	2
628	49000	1
629	494	1
630	4949	1
631	49560	1
632	4all	2
633	4point	3
634	4seed	1
635	4time	1
636	4yearold	9
637	5	79
638	50	89
639	500	26
640	5000	22
641	50000	8
642	500000	17
643	500footlong	1
644	500year	1
645	5048	3
646	5049	1
647	505	1
648	5050	7
649	505foot	10
650	505footlong	1
651	50calib	1
652	50minut	1
653	50year	3
654	50yearold	2
655	51	20
656	51000	2
657	5134	1
658	5135	2
659	514	1
660	515	4
661	5150	1
662	51st	2
663	51yearold	1
664	52	20
665	527	1
666	5272	2
667	52nd	1
668	53	22
669	5347	1
670	539947	1
671	54	39
672	54000	1
673	543000	2
674	5446	7
675	54th	1
676	54yearold	7
677	55	26
678	550	2
679	55degre	1
680	55minut	2
681	55year	8
682	55yearold	4
683	56	15
684	56000ton	1
685	565	1
686	56yearold	7
687	57	13
688	57yearold	1
689	58	21
690	580	1
691	58000	11
692	584foot	1
693	58year	1
694	59	16
695	59000	1
696	5958	1
697	596	2
698	5foot2	5
699	5foot8inch	1
700	5footlong	1
701	5th	24
702	5yearold	6
703	6	52
704	60	72
705	600	18
706	6000	9
707	60000	3
708	600000	3
709	6000mile	1
710	600acr	1
711	600th	1
712	60189	1
713	6072	3
714	609	2
715	60foot	1
716	60mile	1
717	60squaremil	1
718	61	37
719	615	1
720	6164	1
721	6181	1
722	62	65
723	620	1
724	6200	1
725	6262	1
726	627	1
727	62yearold	11
728	63	46
729	630	3
730	64	58
731	6400	2
732	6444	1
733	645	2
734	646	5
735	648	1
736	64yearold	3
737	65	26
738	650	2
739	65000	1
740	651	2
741	653	1
742	66	16
743	660	1
744	66yearold	4
745	67	16
746	672	1
747	675	3
748	677	1
749	67member	1
750	67yearold	1
751	68	5
752	680	1
753	682	1
754	683	2
755	683rd	1
756	687	1
757	68yearold	3
758	69	7
759	69magnitud	1
760	6all	1
761	6love	1
762	6th	1
763	7	51
764	70	26
765	700	9
766	7000	16
767	70000	5
768	700000member	1
769	701	1
770	70200	1
771	7035190092	1
772	7036845528	1
773	70yearold	1
774	71	1
775	710	2
776	711	2
777	7162	3
778	72	5
779	720	1
780	726	2
781	728	1
782	72yearold	1
783	730	3
784	733	3
785	74	6
786	740	1
787	7400	1
788	745	1
789	747	1
790	75	36
791	750	3
792	7500	1
793	750000	2
794	752	1
795	7555022	1
796	75horsepow	1
797	75yearold	3
798	76	42
799	7600	3
800	76000	1
801	762	1
802	76magnitud	9
803	77	4
804	7729	1
805	776	1
806	777200	1
807	7777	1
808	78	6
809	780	1
810	780000	1
811	78day	4
812	79	38
813	79magnitud	5
814	79yearold	2
815	7foot	1
816	7th	2
817	7yearold	1
818	8	64
819	80	23
820	800	9
821	8000	12
822	80000	3
823	800000	2
824	8000ton	1
825	8003683202	1
826	8018	1
827	8059644767	1
828	80yearold	2
829	81	3
830	81yearold	3
831	83	3
832	830	3
833	8300	5
834	8300ton	1
835	832	1
836	8320	1
837	84	1
838	845	3
839	846	2
840	85	5
841	850	6
842	85260	1
843	85magnitud	4
844	86	11
845	8600ton	8
846	8655	1
847	86th	2
848	87	1
849	88	1
850	8883469867	1
851	8monthold	1
852	8seed	1
853	8th	5
854	8yearold	2
855	9	33
856	90	28
857	900	1
858	9000	2
859	90069	1
860	903	1
861	90degre	1
862	91	1
863	91000	1
864	9100ton	2
865	911	5
866	918	1
867	92	1
868	925000	1
869	92nd	1
870	93	3
871	930	9
872	93117	1
873	93degre	2
874	94	1
875	95	6
876	95degre	1
877	96	5
878	97	8
879	97yearold	1
880	98	2
881	98133	1
882	98440	2
883	98481	1
884	989	1
885	99	8
886	99day	1
887	99year	1
888	99yearold	1
889	9point	1
890	9th	3
891	9yearold	1
892	aan	1
893	aaron	2
894	ab	1
895	aback	1
896	abahd	1
897	abandon	37
898	abat	1
899	abc	49
900	abccom	1
901	abcnewscom	3
902	abdallah	2
903	abdel	3
904	abdomin	2
905	abduct	2
906	abdul	5
907	abdulkarim	11
908	abdullah	40
909	abdurahman	1
910	aberr	1
911	abhad	1
912	abhiyan	1
913	abhorr	2
914	abid	7
915	abidjan	36
916	abijan	1
917	abil	32
918	abl	105
919	ablaz	3
920	abnorm	1
921	aboard	93
922	abobo	3
923	abolish	4
924	abomin	1
925	abort	7
926	abou	1
927	abound	4
928	abov	43
929	abovo	1
930	abraham	10
931	abreast	1
932	abrego	1
933	abroad	52
934	abrog	2
935	abrupt	1
936	abruptli	4
937	abscam	1
938	absenc	6
939	absent	4
940	absente	7
941	absentia	3
942	absolut	43
943	absorb	9
944	abstain	1
945	abstent	1
946	absurd	2
947	abu	7
948	abund	2
949	abus	28
950	abuseofpow	1
951	abuzaakouk	1
952	abyan	1
953	abyssinian	1
954	academ	6
955	academi	4
956	academia	1
957	acced	1
958	acceler	4
959	accent	2
960	accentu	2
961	accept	123
962	access	41
963	accid	32
964	accident	3
965	accommod	11
966	accompani	33
967	accomplic	4
968	accomplish	10
969	accord	145
970	accordingli	1
971	accordion	1
972	account	124
973	accredit	1
974	accumul	2
975	accur	14
976	accuraci	1
977	accus	130
978	accustom	2
979	ace	27
980	acerb	2
981	achiev	31
982	acid	2
983	acknowledg	55
984	acolyt	1
985	acosta	1
986	acquaint	1
987	acquiesc	1
988	acquir	5
989	acquisit	1
990	acquit	5
991	acquitt	3
992	acrimoni	2
993	acrobat	5
994	acronym	1
995	acrosstheboard	1
996	act	134
997	action	94
998	actionc	1
999	activ	89
1000	activist	19
1001	actor	4
1002	actress	2
1003	actual	66
1004	ad	119
1005	adam	8
1006	adapt	5
1007	add	18
1008	addali	1
1009	adden	1
1010	addit	74
1011	address	64
1012	adem	1
1013	aden	169
1014	adenabyan	5
1015	adenbas	1
1016	adequ	7
1017	adher	4
1018	adiksa	1
1019	adjac	4
1020	adjam	2
1021	adjoin	3
1022	adjourn	3
1023	adjust	7
1024	adlai	1
1025	adm	44
1026	admen	1
1027	administ	9
1028	administr	115
1029	administrationmedi	1
1030	admir	38
1031	admiralti	1
1032	admiringli	1
1033	admiss	2
1034	admit	40
1035	ado	2
1036	adob	1
1037	adolesc	2
1038	adopt	17
1039	adorn	1
1040	adoubi	1
1041	adrain	1
1042	adrenalin	1
1043	adriat	1
1044	adrift	4
1045	adult	10
1046	advanc	66
1047	advani	1
1048	advantag	21
1049	adventist	1
1050	adventur	2
1051	advers	2
1052	adversari	2
1053	advertis	12
1054	advic	6
1055	advis	82
1056	advisor	10
1057	advisori	2
1058	advoc	13
1059	advocaci	2
1060	aegi	5
1061	aegiss	1
1062	aerial	3
1063	aeroflot	1
1064	affabl	1
1065	affair	48
1066	affect	29
1067	affection	1
1068	affili	6
1069	affirm	6
1070	afflict	1
1071	afford	7
1072	affront	2
1073	afghan	15
1074	afghanarab	1
1075	afghanbas	3
1076	afghanistan	46
1077	afi	2
1078	afibia	1
1079	afield	1
1080	afir	2
1081	aflcio	2
1082	afloat	13
1083	afoul	1
1084	afraid	28
1085	afredo	1
1086	africa	65
1087	african	48
1088	africanamerican	1
1089	aft	3
1090	aftehock	1
1091	aftermath	14
1092	afternoon	59
1093	aftershock	43
1094	afterward	13
1095	afundament	1
1096	agarw	1
1097	agassi	47
1098	agbayani	1
1099	age	35
1100	agenc	117
1101	agenda	14
1102	agent	83
1103	agglomer	1
1104	aggrav	12
1105	aggress	24
1106	agil	1
1107	agit	1
1108	ago	206
1109	agon	6
1110	agoni	3
1111	agonizingli	1
1112	agre	77
1113	agreement	49
1114	agricultur	15
1115	agustin	1
1116	ah	1
1117	aha	1
1118	ahead	53
1119	ahemdabad	1
1120	ahm	15
1121	ahmad	1
1122	ahmadabad	2
1123	ahmar	1
1124	ahmedabad	20
1125	ahold	1
1126	ahren	1
1127	ai	1
1128	aid	158
1129	aida	2
1130	ail	5
1131	ailment	1
1132	aim	35
1133	ainst	1
1134	air	170
1135	aircondition	1
1136	aircraft	27
1137	airdrop	2
1138	airfield	1
1139	airforc	1
1140	airlift	4
1141	airlin	6
1142	airlock	1
1143	airman	1
1144	airmen	11
1145	airplan	7
1146	airport	49
1147	airqual	1
1148	airstrik	4
1149	airtim	2
1150	airtoair	1
1151	airtraff	1
1152	airwav	1
1153	airway	3
1154	aisl	3
1155	aj	1
1156	ajax	1
1157	ajnar	3
1158	akaka	2
1159	akan	2
1160	akin	3
1161	akishio	1
1162	akouedo	1
1163	al	74
1164	ala	4
1165	alabama	5
1166	alabidin	4
1167	alahmar	1
1168	alain	1
1169	alami	1
1170	alamoudi	1
1171	alan	5
1172	alarm	19
1173	alasan	1
1174	alaska	3
1175	alaskan	1
1176	alassan	27
1177	alayyam	1
1178	albadawi	1
1179	albani	1
1180	albania	1
1181	albanian	18
1182	albanianamerican	1
1183	albeit	4
1184	albert	1
1185	alberto	65
1186	albright	47
1187	album	1
1188	alce	3
1189	alcohol	5
1190	alehandr	1
1191	alejandro	14
1192	aleksa	1
1193	aleksandar	6
1194	aler	1
1195	alert	62
1196	alessio	4
1197	alex	10
1198	alexa	2
1199	alexand	9
1200	alexandria	1
1201	alexei	1
1202	alexeyev	1
1203	alexsand	1
1204	alfadhli	1
1205	alfonso	1
1206	alfr	2
1207	alfredo	1
1208	algamaa	2
1209	algamaat	1
1210	algeria	3
1211	algerian	5
1212	algerin	1
1213	alghashmi	1
1214	alhadith	1
1215	alhamdi	1
1216	alharazi	2
1217	alhassan	1
1218	ali	44
1219	alia	2
1220	alibi	1
1221	alien	3
1222	alight	1
1223	align	5
1224	alija	1
1225	alik	9
1226	aliryani	11
1227	alisan	2
1228	alisha	1
1229	alislamiya	2
1230	alislaymiyya	1
1231	aliv	84
1232	aljazeera	3
1233	aljefri	1
1234	aljihad	1
1235	alkhamri	1
1236	allafricacom	1
1237	allah	1
1238	allahabad	2
1239	allahbad	1
1240	allan	1
1241	alleg	71
1242	allegedli	23
1243	allegi	1
1244	allen	22
1245	allentown	1
1246	alley	2
1247	alleyway	3
1248	allfranc	1
1249	allfrench	2
1250	alli	85
1251	allianc	10
1252	allimport	1
1253	alliz	1
1254	allnight	2
1255	allot	1
1256	allow	133
1257	allparti	1
1258	allstar	1
1259	alltim	1
1260	allud	2
1261	allus	5
1262	allwilliam	1
1263	alma	1
1264	almagor	1
1265	almasri	2
1266	almegrahi	1
1267	almidhar	2
1268	almihdar	3
1269	almuhajiroun	3
1270	almusawah	3
1271	alnaderi	2
1272	alnahdi	1
1273	alnizali	1
1274	alomeri	1
1275	alon	39
1276	alongsid	39
1277	alou	1
1278	alowhali	2
1279	alpha	2
1280	alphabet	3
1281	alpin	1
1282	alqadhi	2
1283	alqaeda	1
1284	alqaida	3
1285	alreadi	164
1286	alribat	1
1287	alshahrani	3
1288	alsharia	1
1289	alsharjani	1
1290	alsharq	1
1291	alshueib	1
1292	alter	8
1293	altern	20
1294	altitud	1
1295	altogeth	4
1296	aluminum	2
1297	alun	6
1298	alwadi	1
1299	alway	93
1300	alzawahri	2
1301	alzindani	1
1302	amad	3
1303	amanda	17
1304	amarillo	2
1305	amartej	3
1306	amaru	4
1307	amass	4
1308	amateur	2
1309	amaz	10
1310	amazingli	1
1311	ambassador	47
1312	ambersag	1
1313	ambigu	1
1314	ambit	8
1315	ambiti	2
1316	ambival	2
1317	ambul	11
1318	ambush	1
1319	ameli	6
1320	amend	2
1321	amerasian	1
1322	america	128
1323	american	341
1324	americanislam	1
1325	americanl	1
1326	americanstatesman	1
1327	americanyemeni	1
1328	americorp	1
1329	amh	1
1330	ami	2
1331	amiabl	2
1332	amic	1
1333	amid	51
1334	amidship	2
1335	amin	1
1336	amit	1
1337	amman	2
1338	ammo	1
1339	ammonium	1
1340	ammunit	22
1341	amnesia	2
1342	amnesti	2
1343	amp	5
1344	amphibi	3
1345	ampl	2
1346	ampli	1
1347	amplifi	1
1348	amput	12
1349	ana	7
1350	anacostia	1
1351	analges	1
1352	analog	1
1353	analysi	9
1354	analyst	38
1355	analyz	5
1356	anarch	2
1357	anathema	1
1358	anatoli	8
1359	anca	4
1360	ancestor	3
1361	ancestr	25
1362	ancestri	1
1363	anchor	8
1364	anchorag	2
1365	anchorman	3
1366	ancient	4
1367	andean	6
1368	anderson	4
1369	andi	5
1370	andjelkov	1
1371	andoslavia	1
1372	andr	48
1373	andrea	14
1374	andrei	2
1375	andrew	15
1376	andrik	1
1377	anew	7
1378	angel	13
1379	anger	46
1380	angl	12
1381	anglican	1
1382	angri	27
1383	angrili	4
1384	anguish	8
1385	ani	312
1386	anim	2
1387	animist	2
1388	animos	11
1389	anjana	1
1390	anjar	6
1391	anjay	1
1392	ank	2
1393	ankl	8
1394	ankledeep	1
1395	ann	11
1396	anna	21
1397	annabel	1
1398	annacon	1
1399	annan	13
1400	anniversari	15
1401	announc	164
1402	annoy	2
1403	annual	18
1404	annul	11
1405	anomali	1
1406	anonym	63
1407	anoth	263
1408	answer	48
1409	antagon	1
1410	antasiaovich	1
1411	antenna	2
1412	anthem	6
1413	anthoni	27
1414	anthropologist	2
1415	anti	1
1416	antiaircraft	2
1417	antiamerican	16
1418	antiballist	2
1419	antibiot	5
1420	antibush	1
1421	anticastro	1
1422	anticip	17
1423	anticlimact	1
1424	anticommunist	2
1425	anticorrupt	1
1426	antidiarrhea	1
1427	antifbi	2
1428	antiislam	3
1429	antiisrael	2
1430	antimilitari	1
1431	antimilosev	20
1432	antimissil	1
1433	antinorthern	1
1434	antiradar	1
1435	antiship	2
1436	antisoviet	1
1437	antisubmarin	1
1438	antiterror	6
1439	antiterrorist	8
1440	antiu	9
1441	antiwar	8
1442	antiwestern	5
1443	antonia	6
1444	antonin	1
1445	antonio	26
1446	anwar	4
1447	anxieti	3
1448	anxiou	11
1449	anxious	2
1450	anybodi	14
1451	anymor	9
1452	anyon	58
1453	anyth	94
1454	anytim	4
1455	anywher	18
1456	aok	1
1457	aon	1
1458	ap	20
1459	apart	68
1460	ape	1
1461	apec	4
1462	apex	1
1463	apolit	1
1464	apolog	18
1465	appal	1
1466	appallingli	1
1467	appar	192
1468	apparatu	7
1469	appeal	95
1470	appear	195
1471	appel	1
1472	appetit	2
1473	appl	3
1474	applaud	10
1475	applaus	8
1476	applepick	1
1477	appleton	2
1478	appli	18
1479	applic	16
1480	appoint	65
1481	appointe	3
1482	apprais	2
1483	appreci	16
1484	apprehend	4
1485	apprehens	2
1486	apprentic	3
1487	appris	1
1488	approach	49
1489	appropri	18
1490	approv	25
1491	approxim	12
1492	april	66
1493	aprista	4
1494	apron	1
1495	aquil	2
1496	ar15	1
1497	arab	61
1498	arabamerican	2
1499	arabi	1
1500	arabia	71
1501	arabian	44
1502	arabianborn	1
1503	arablanguag	3
1504	arablook	1
1505	arabspeak	1
1506	arafat	16
1507	arantxa	3
1508	arazi	7
1509	arbadi	1
1510	arbit	1
1511	arbitrari	2
1512	arbitrarili	1
1513	arc	1
1514	arch	2
1515	archaeolog	2
1516	archbishop	4
1517	archer	1
1518	archeri	4
1519	archetyp	1
1520	archi	5
1521	archibald	1
1522	architect	7
1523	architectur	4
1524	arctic	6
1525	ardent	4
1526	arduou	1
1527	area	184
1528	arena	22
1529	arent	16
1530	argentin	1
1531	argentina	10
1532	argu	45
1533	arguabl	2
1534	argument	18
1535	ari	1
1536	arid	5
1537	arif	1
1538	arisen	1
1539	arithmet	1
1540	aritomi	4
1541	ariz	6
1542	arizona	7
1543	ark	8
1544	arkadelphia	1
1545	arkan	1
1546	arkansa	28
1547	arkansasbas	1
1548	arkin	2
1549	arleigh	2
1550	arleighburkeclass	1
1551	arlen	2
1552	arlington	8
1553	arm	131
1554	armament	1
1555	armbrist	1
1556	armenia	2
1557	armey	1
1558	armi	136
1559	armitag	1
1560	armor	17
1561	armori	3
1562	arn	3
1563	arnaud	17
1564	arni	1
1565	arno	1
1566	arnold	3
1567	arnot	1
1568	aros	5
1569	arous	1
1570	arraign	2
1571	arrang	38
1572	array	5
1573	arrear	1
1574	arrest	108
1575	arriv	180
1576	arrog	3
1577	arrow	4
1578	arsen	10
1579	arseni	1
1580	arsonist	1
1581	art	9
1582	arthriti	1
1583	arthur	4
1584	articl	5
1585	articul	1
1586	artifact	1
1587	artifici	4
1588	artist	4
1589	artudo	1
1590	arturo	6
1591	aruba	2
1592	aryapov	1
1593	asa	1
1594	asahi	1
1595	ascend	1
1596	ascrib	4
1597	asean	1
1598	ash	4
1599	asham	1
1600	ashcroft	56
1601	ashkroft	1
1602	ashok	1
1603	ashor	2
1604	ashraf	1
1605	ashshaab	1
1606	ashtray	1
1607	asia	22
1608	asian	15
1609	asiapacif	16
1610	asid	30
1611	ask	195
1612	aspect	11
1613	aspir	2
1614	assad	1
1615	assail	4
1616	assam	6
1617	assassin	21
1618	assault	28
1619	assembl	18
1620	assemblyforexport	1
1621	assert	17
1622	assess	48
1623	asset	10
1624	assign	24
1625	assist	76
1626	assistedsuicid	1
1627	associ	116
1628	associateturnedinform	3
1629	assort	1
1630	assum	38
1631	assumpt	7
1632	assur	35
1633	assuredli	2
1634	astakhov	12
1635	asterisk	2
1636	astonish	7
1637	astound	2
1638	astronom	1
1639	astut	1
1640	asylum	29
1641	asymmetr	2
1642	atal	13
1643	atck	2
1644	ate	4
1645	atf	2
1646	atfein	1
1647	ath	1
1648	athal	1
1649	athlet	3
1650	atlant	15
1651	atlanta	6
1652	atmat	1
1653	atmospher	10
1654	atom	4
1655	atop	13
1656	atp	3
1657	atroc	10
1658	atrophi	1
1659	atsea	3
1660	attach	15
1661	attack	306
1662	attain	1
1663	attempt	112
1664	attend	68
1665	attent	64
1666	attest	2
1667	attitud	10
1668	attorney	57
1669	attract	15
1670	attribut	12
1671	attrit	1
1672	atwan	1
1673	aubrey	19
1674	aubri	5
1675	audienc	16
1676	audio	4
1677	audiotap	1
1678	auditor	5
1679	auditorium	1
1680	aug	33
1681	augment	1
1682	august	32
1683	aunt	2
1684	aur	5
1685	aura	1
1686	aurora	4
1687	ausi	1
1688	aussi	9
1689	auster	2
1690	austin	18
1691	australia	23
1692	australian	72
1693	austria	3
1694	austrian	1
1695	austrohungarian	1
1696	authent	2
1697	author	255
1698	authoritarian	27
1699	auto	1
1700	autocrat	27
1701	autograph	1
1702	autom	1
1703	automat	18
1704	automobil	4
1705	autonom	1
1706	autonomi	3
1707	autopilot	1
1708	autopsi	1
1709	autumn	2
1710	avail	44
1711	avala	1
1712	avalanch	1
1713	ave	1
1714	aveng	7
1715	avent	1
1716	avenu	4
1717	averag	14
1718	avert	6
1719	aviat	3
1720	aviv	4
1721	avner	2
1722	avoid	59
1723	avow	1
1724	aw	10
1725	awad	2
1726	await	26
1727	awaken	2
1728	awar	18
1729	award	9
1730	away	165
1731	awe	3
1732	aweigh	1
1733	awestruck	1
1734	awkward	4
1735	awn	4
1736	awok	1
1737	axam	1
1738	axe	1
1739	ay	2
1740	ayatollah	1
1741	aykroyd	1
1742	ayman	5
